  system                dq      CA1     CA2     dCA   dCA*na
benzeneF6              0.017447   0.092377   0.075614  -0.016763  -0.217916
TCNQ-F4                0.016990   0.137524   0.121299  -0.016225  -0.340731
triazine               0.018389   0.211314   0.196072  -0.015242  -0.152416
TCNQ-F2                0.015380   0.144065   0.130932  -0.013133  -0.275802
NDI                    0.018005   0.171275   0.159906  -0.011369  -0.306954
TCNQ                   0.013526   0.139423   0.129896  -0.009528  -0.200078
benzeneO2              0.014928   0.129893   0.120765  -0.009128  -0.118667
PDI                    0.014960   0.134344   0.126094  -0.008250  -0.338251
PTCDA                  0.015286   0.107441   0.099236  -0.008205  -0.319995
indigoCl2              0.014627   0.138113   0.130288  -0.007825  -0.242587
indigo                 0.014333   0.146998   0.139627  -0.007371  -0.228489
pentaceneN4O2          0.010751   0.140018   0.132894  -0.007124  -0.235083
quinacridone           0.012277   0.135728   0.129705  -0.006023  -0.222868
dibenzoindigo          0.012321   0.123678   0.118172  -0.005506  -0.236752
benzodithiopheneO2     0.012434   0.108887   0.103766  -0.005121  -0.097290
anthraquinone          0.010375   0.099601   0.094831  -0.004770  -0.119245
triphenyltriazine      0.010424   0.118682   0.114389  -0.004293  -0.171739
BODIPY                 0.011568   0.113924   0.109789  -0.004134  -0.090954
pentaceneN2Cl4         0.007188   0.080945   0.076917  -0.004028  -0.140968
carbazoleNO2b          0.009120   0.115266   0.111292  -0.003974  -0.099362
phenazine              0.006621   0.116986   0.113570  -0.003417  -0.078585
thiazolothiazolePh     0.008163   0.104420   0.101519  -0.002901  -0.089929
PBBTZ                  0.011638   0.126083   0.123214  -0.002868  -0.088916
ICZbCl2c               0.007671   0.114439   0.111890  -0.002549  -0.084120
ICZb                   0.007216   0.122040   0.119849  -0.002191  -0.072295
OPV3CN                 0.006254   0.096215   0.094187  -0.002028  -0.087193
carbazole              0.006135   0.113855   0.112227  -0.001628  -0.037448
NDFPh                  0.006401   0.087785   0.086165  -0.001621  -0.072940
spirobidibenzosilole   0.005648   0.083084   0.081624  -0.001460  -0.061332
TTPa                   0.006285   0.091894   0.090847  -0.001047  -0.036640
TTPc                   0.006125   0.090701   0.089834  -0.000867  -0.030341
TTPb                   0.005942   0.089847   0.089133  -0.000714  -0.024987
triphenylene           0.000527   0.076478   0.076476  -0.000002  -0.000064
C60                    0.000007   0.000013   0.000012  -0.000001  -0.000089
hexacene               0.000437   0.073761   0.073763   0.000002   0.000088
pentacene              0.000444   0.074946   0.074965   0.000020   0.000728
chrysene               0.000476   0.076540   0.076567   0.000027   0.000841
tetracene              0.000438   0.076585   0.076629   0.000044   0.001365
coronene               0.000493   0.064757   0.064803   0.000046   0.001693
anthracene             0.000410   0.079007   0.079085   0.000078   0.001954
stilbene               0.000905   0.086951   0.087036   0.000085   0.002299
perylene               0.000902   0.072085   0.072207   0.000123   0.004053
naphthalene            0.000330   0.082944   0.083069   0.000125   0.002377
pyrene                 0.000780   0.073531   0.073662   0.000131   0.003528
spirobifluorene        0.000815   0.076204   0.076341   0.000138   0.005778
triphenylbenzene       0.001263   0.082381   0.082561   0.000179   0.007708
benzene                0.000208   0.090326   0.090525   0.000199   0.002588
triptycene             0.000496   0.078190   0.078502   0.000312   0.010914
TPP                    0.002264   0.084455   0.084849   0.000394   0.013783
IF21a                  0.001063   0.078480   0.079130   0.000650   0.022747
IF12b                  0.001102   0.078523   0.079175   0.000652   0.022805
DATT                   0.003007   0.066770   0.067857   0.001086   0.053235
DNBDT                  0.003386   0.066274   0.067624   0.001350   0.058062
DNTT                   0.003224   0.067231   0.068614   0.001382   0.051150
oligothiophene6        0.002310   0.078073   0.079572   0.001499   0.067450
oligothiophene4        0.002341   0.079856   0.081441   0.001585   0.049146
NDT                    0.002897   0.071263   0.072894   0.001632   0.040788
TTAb                   0.002628   0.065112   0.066745   0.001633   0.060417
bithiophene            0.002396   0.084516   0.086174   0.001658   0.028178
benzotrithiopheneA     0.002625   0.071250   0.072918   0.001668   0.036696
TTAa                   0.002835   0.065059   0.066849   0.001791   0.066261
BTBT                   0.003406   0.068658   0.070529   0.001871   0.046770
HMTTF                  0.004485   0.074474   0.076596   0.002121   0.061514
benzotrithiophene      0.003516   0.067748   0.070158   0.002410   0.053019
TTTT                   0.003850   0.062296   0.065318   0.003022   0.057424
DBTTF                  0.005580   0.064170   0.067761   0.003591   0.096952
TTF                    0.006754   0.065179   0.070501   0.005323   0.079841
