  system                dq      CA1     CA2     dCA   dCA*na
benzeneF6              0.017   0.092   0.076  -0.017  -0.218
TCNQ-F4                0.017   0.138   0.121  -0.016  -0.341
triazine               0.018   0.211   0.196  -0.015  -0.152
TCNQ-F2                0.015   0.144   0.131  -0.013  -0.276
NDI                    0.018   0.171   0.160  -0.011  -0.307
TCNQ                   0.014   0.139   0.130  -0.010  -0.200
benzeneO2              0.015   0.130   0.121  -0.009  -0.119
PDI                    0.015   0.134   0.126  -0.008  -0.338
PTCDA                  0.015   0.107   0.099  -0.008  -0.320
indigoCl2              0.015   0.138   0.130  -0.008  -0.243
indigo                 0.014   0.147   0.140  -0.007  -0.228
pentaceneN4O2          0.011   0.140   0.133  -0.007  -0.235
quinacridone           0.012   0.136   0.130  -0.006  -0.223
dibenzoindigo          0.012   0.124   0.118  -0.006  -0.237
benzodithiopheneO2     0.012   0.109   0.104  -0.005  -0.097
anthraquinone          0.010   0.100   0.095  -0.005  -0.119
triphenyltriazine      0.010   0.119   0.114  -0.004  -0.172
BODIPY                 0.012   0.114   0.110  -0.004  -0.091
pentaceneN2Cl4         0.007   0.081   0.077  -0.004  -0.141
carbazoleNO2b          0.009   0.115   0.111  -0.004  -0.099
phenazine              0.007   0.117   0.114  -0.003  -0.079
thiazolothiazolePh     0.008   0.104   0.102  -0.003  -0.090
PBBTZ                  0.012   0.126   0.123  -0.003  -0.089
ICZbCl2c               0.008   0.114   0.112  -0.003  -0.084
ICZb                   0.007   0.122   0.120  -0.002  -0.072
OPV3CN                 0.006   0.096   0.094  -0.002  -0.087
carbazole              0.006   0.114   0.112  -0.002  -0.037
NDFPh                  0.006   0.088   0.086  -0.002  -0.073
spirobidibenzosilole   0.006   0.083   0.082  -0.001  -0.061
TTPa                   0.006   0.092   0.091  -0.001  -0.037
TTPc                   0.006   0.091   0.090  -0.001  -0.030
TTPb                   0.006   0.090   0.089  -0.001  -0.025
triphenylene           0.001   0.076   0.076  -0.000  -0.000
C60                    0.000   0.000   0.000  -0.000  -0.000
hexacene               0.000   0.074   0.074   0.000   0.000
pentacene              0.000   0.075   0.075   0.000   0.001
chrysene               0.000   0.077   0.077   0.000   0.001
tetracene              0.000   0.077   0.077   0.000   0.001
coronene               0.000   0.065   0.065   0.000   0.002
anthracene             0.000   0.079   0.079   0.000   0.002
stilbene               0.001   0.087   0.087   0.000   0.002
perylene               0.001   0.072   0.072   0.000   0.004
naphthalene            0.000   0.083   0.083   0.000   0.002
pyrene                 0.001   0.074   0.074   0.000   0.004
spirobifluorene        0.001   0.076   0.076   0.000   0.006
triphenylbenzene       0.001   0.082   0.083   0.000   0.008
benzene                0.000   0.090   0.091   0.000   0.003
triptycene             0.000   0.078   0.079   0.000   0.011
TPP                    0.002   0.084   0.085   0.000   0.014
IF21a                  0.001   0.078   0.079   0.001   0.023
IF12b                  0.001   0.079   0.079   0.001   0.023
DATT                   0.003   0.067   0.068   0.001   0.053
DNBDT                  0.003   0.066   0.068   0.001   0.058
DNTT                   0.003   0.067   0.069   0.001   0.051
oligothiophene6        0.002   0.078   0.080   0.001   0.067
oligothiophene4        0.002   0.080   0.081   0.002   0.049
NDT                    0.003   0.071   0.073   0.002   0.041
TTAb                   0.003   0.065   0.067   0.002   0.060
bithiophene            0.002   0.085   0.086   0.002   0.028
benzotrithiopheneA     0.003   0.071   0.073   0.002   0.037
TTAa                   0.003   0.065   0.067   0.002   0.066
BTBT                   0.003   0.069   0.071   0.002   0.047
HMTTF                  0.004   0.074   0.077   0.002   0.062
benzotrithiophene      0.004   0.068   0.070   0.002   0.053
TTTT                   0.004   0.062   0.065   0.003   0.057
DBTTF                  0.006   0.064   0.068   0.004   0.097
TTF                    0.007   0.065   0.071   0.005   0.080
