  system                dq      CA1     CA2     dCA   dCA*na
triazine               0.063232   0.579374   0.529361  -0.050012  -0.450110
benzeneO2              0.048170   0.334740   0.295212  -0.039528  -0.474330
indigoCl2              0.050395   0.288619   0.254122  -0.034498  -1.034929
NDI                    0.044006   0.336289   0.303170  -0.033119  -0.861094
indigo                 0.050608   0.295730   0.263531  -0.032199  -0.965965
TCNQ                   0.035089   0.349874   0.318674  -0.031200  -0.623990
PTCDA                  0.045294   0.286699   0.256135  -0.030564  -1.161448
dibenzoindigo          0.044779   0.282407   0.254277  -0.028129  -1.181433
TCNQ-F2                0.030114   0.343945   0.316014  -0.027931  -0.558613
quinacridone           0.040447   0.285007   0.257829  -0.027178  -0.978423
PDI                    0.038030   0.263855   0.238055  -0.025801  -1.032024
benzotrithiophene      0.044515   0.243504   0.218711  -0.024793  -0.520659
benzeneF6              0.024181   0.119110   0.094931  -0.024179  -0.290144
TPP                    0.034678   0.226578   0.205377  -0.021201  -0.720827
ICZb                   0.043726   0.218894   0.198161  -0.020734  -0.663481
PBBTZ                  0.040535   0.298087   0.279186  -0.018901  -0.567018
pentaceneN4O2          0.024359   0.283648   0.265306  -0.018342  -0.586940
triphenyltriazine      0.035307   0.239071   0.220812  -0.018260  -0.712124
benzodithiopheneO2     0.032914   0.239344   0.222713  -0.016631  -0.299350
NDT                    0.026285   0.202446   0.186282  -0.016164  -0.387943
TCNQ-F4                0.025579   0.214997   0.198974  -0.016023  -0.320466
carbazoleNO2b          0.032149   0.276079   0.260350  -0.015729  -0.377489
anthraquinone          0.023135   0.157869   0.143001  -0.014868  -0.356830
DBTTF                  0.021532   0.128036   0.114382  -0.013654  -0.354998
phenazine              0.016524   0.257428   0.244652  -0.012776  -0.281066
coronene               0.013798   0.146677   0.135157  -0.011520  -0.414722
pyrene                 0.012767   0.186143   0.174926  -0.011216  -0.291624
ICZbCl2c               0.019586   0.229356   0.218612  -0.010744  -0.343798
HMTTF                  0.021789   0.106878   0.096318  -0.010560  -0.295667
BTBT                   0.014437   0.171625   0.161238  -0.010387  -0.249288
carbazole              0.016560   0.207953   0.197646  -0.010307  -0.226764
naphthalene            0.012496   0.178905   0.168912  -0.009993  -0.179878
pentaceneN2Cl4         0.016373   0.189227   0.179310  -0.009917  -0.337178
NDFPh                  0.013324   0.185518   0.176961  -0.008556  -0.376478
TTPa                   0.022300   0.183759   0.175293  -0.008467  -0.287874
stilbene               0.010402   0.161596   0.153381  -0.008215  -0.213583
perylene               0.011377   0.143617   0.135458  -0.008160  -0.261104
TTPc                   0.018142   0.167274   0.159353  -0.007921  -0.269322
hexacene               0.013856   0.213858   0.206354  -0.007504  -0.315158
chrysene               0.010379   0.154438   0.147160  -0.007279  -0.218358
benzotrithiopheneA     0.021808   0.190176   0.182909  -0.007267  -0.152606
oligothiophene6        0.018094   0.159018   0.151953  -0.007065  -0.310871
pentacene              0.014637   0.208396   0.201413  -0.006983  -0.251374
anthracene             0.008582   0.202143   0.195271  -0.006872  -0.164920
DATT                   0.016361   0.210277   0.203468  -0.006809  -0.326832
DNTT                   0.014667   0.205459   0.198763  -0.006696  -0.241054
thiazolothiazolePh     0.012742   0.176986   0.170333  -0.006652  -0.199575
TTF                    0.020000   0.125977   0.119411  -0.006566  -0.091918
oligothiophene4        0.020783   0.152025   0.145811  -0.006215  -0.186436
IF12b                  0.018216   0.186923   0.180975  -0.005949  -0.202256
C60                    0.011466   0.017942   0.011997  -0.005945  -0.356728
tetracene              0.010941   0.201209   0.195338  -0.005871  -0.176118
TTAa                   0.018290   0.152059   0.146294  -0.005764  -0.207522
triptycene             0.005990   0.142297   0.136909  -0.005387  -0.183174
OPV3CN                 0.022553   0.192602   0.187528  -0.005075  -0.213135
triphenylene           0.005456   0.112269   0.107195  -0.005074  -0.152225
BODIPY                 0.035396   0.224928   0.219907  -0.005022  -0.105457
triphenylbenzene       0.017752   0.134362   0.130291  -0.004071  -0.170968
benzene                0.003924   0.126439   0.122586  -0.003853  -0.046240
TTTT                   0.017182   0.142154   0.138530  -0.003624  -0.065226
DNBDT                  0.028253   0.173683   0.170120  -0.003562  -0.149611
TTAb                   0.017918   0.134100   0.130757  -0.003344  -0.120366
spirobidibenzosilole   0.014861   0.144651   0.142232  -0.002419  -0.099187
spirobifluorene        0.013396   0.244978   0.244368  -0.000610  -0.025012
TTPb                   0.013930   0.147817   0.148177   0.000360   0.012234
IF21a                  0.014069   0.151944   0.154483   0.002539   0.086314
bithiophene            0.023476   0.125384   0.127940   0.002555   0.040881
