  system                dq      CA1     CA2     dCA   dCA*na
triazine               0.063   0.579   0.529  -0.050  -0.450
benzeneO2              0.048   0.335   0.295  -0.040  -0.474
indigoCl2              0.050   0.289   0.254  -0.034  -1.035
NDI                    0.044   0.336   0.303  -0.033  -0.861
indigo                 0.051   0.296   0.264  -0.032  -0.966
TCNQ                   0.035   0.350   0.319  -0.031  -0.624
PTCDA                  0.045   0.287   0.256  -0.031  -1.161
dibenzoindigo          0.045   0.282   0.254  -0.028  -1.181
TCNQ-F2                0.030   0.344   0.316  -0.028  -0.559
quinacridone           0.040   0.285   0.258  -0.027  -0.978
PDI                    0.038   0.264   0.238  -0.026  -1.032
benzotrithiophene      0.045   0.244   0.219  -0.025  -0.521
benzeneF6              0.024   0.119   0.095  -0.024  -0.290
TPP                    0.035   0.227   0.205  -0.021  -0.721
ICZb                   0.044   0.219   0.198  -0.021  -0.663
PBBTZ                  0.041   0.298   0.279  -0.019  -0.567
pentaceneN4O2          0.024   0.284   0.265  -0.018  -0.587
triphenyltriazine      0.035   0.239   0.221  -0.018  -0.712
benzodithiopheneO2     0.033   0.239   0.223  -0.017  -0.299
NDT                    0.026   0.202   0.186  -0.016  -0.388
TCNQ-F4                0.026   0.215   0.199  -0.016  -0.320
carbazoleNO2b          0.032   0.276   0.260  -0.016  -0.377
anthraquinone          0.023   0.158   0.143  -0.015  -0.357
DBTTF                  0.022   0.128   0.114  -0.014  -0.355
phenazine              0.017   0.257   0.245  -0.013  -0.281
coronene               0.014   0.147   0.135  -0.012  -0.415
pyrene                 0.013   0.186   0.175  -0.011  -0.292
ICZbCl2c               0.020   0.229   0.219  -0.011  -0.344
HMTTF                  0.022   0.107   0.096  -0.011  -0.296
BTBT                   0.014   0.172   0.161  -0.010  -0.249
carbazole              0.017   0.208   0.198  -0.010  -0.227
naphthalene            0.012   0.179   0.169  -0.010  -0.180
pentaceneN2Cl4         0.016   0.189   0.179  -0.010  -0.337
NDFPh                  0.013   0.186   0.177  -0.009  -0.376
TTPa                   0.022   0.184   0.175  -0.008  -0.288
stilbene               0.010   0.162   0.153  -0.008  -0.214
perylene               0.011   0.144   0.135  -0.008  -0.261
TTPc                   0.018   0.167   0.159  -0.008  -0.269
hexacene               0.014   0.214   0.206  -0.008  -0.315
chrysene               0.010   0.154   0.147  -0.007  -0.218
benzotrithiopheneA     0.022   0.190   0.183  -0.007  -0.153
oligothiophene6        0.018   0.159   0.152  -0.007  -0.311
pentacene              0.015   0.208   0.201  -0.007  -0.251
anthracene             0.009   0.202   0.195  -0.007  -0.165
DATT                   0.016   0.210   0.203  -0.007  -0.327
DNTT                   0.015   0.205   0.199  -0.007  -0.241
thiazolothiazolePh     0.013   0.177   0.170  -0.007  -0.200
TTF                    0.020   0.126   0.119  -0.007  -0.092
oligothiophene4        0.021   0.152   0.146  -0.006  -0.186
IF12b                  0.018   0.187   0.181  -0.006  -0.202
C60                    0.011   0.018   0.012  -0.006  -0.357
tetracene              0.011   0.201   0.195  -0.006  -0.176
TTAa                   0.018   0.152   0.146  -0.006  -0.208
triptycene             0.006   0.142   0.137  -0.005  -0.183
OPV3CN                 0.023   0.193   0.188  -0.005  -0.213
triphenylene           0.005   0.112   0.107  -0.005  -0.152
BODIPY                 0.035   0.225   0.220  -0.005  -0.105
triphenylbenzene       0.018   0.134   0.130  -0.004  -0.171
benzene                0.004   0.126   0.123  -0.004  -0.046
TTTT                   0.017   0.142   0.139  -0.004  -0.065
DNBDT                  0.028   0.174   0.170  -0.004  -0.150
TTAb                   0.018   0.134   0.131  -0.003  -0.120
spirobidibenzosilole   0.015   0.145   0.142  -0.002  -0.099
spirobifluorene        0.013   0.245   0.244  -0.001  -0.025
TTPb                   0.014   0.148   0.148   0.000   0.012
IF21a                  0.014   0.152   0.154   0.003   0.086
bithiophene            0.023   0.125   0.128   0.003   0.041
