benzeneF6              0.016651   0.071404   0.055406  -0.015998  -0.207978
TCNQ-F4                0.014114   0.080325   0.066986  -0.013340  -0.280133
triazine               0.013647   0.099770   0.088821  -0.010949  -0.109492
TCNQ-F2                0.012245   0.082079   0.071857  -0.010221  -0.214650
NDI                    0.015716   0.093950   0.084825  -0.009126  -0.246392
benzeneO2              0.013747   0.084390   0.076777  -0.007613  -0.098975
PTCDA                  0.014077   0.071141   0.064132  -0.007008  -0.273317
PDI                    0.013133   0.072833   0.066331  -0.006502  -0.266571
TCNQ                   0.009969   0.070930   0.064460  -0.006471  -0.135884
indigoCl2              0.013046   0.068039   0.061842  -0.006197  -0.192103
indigo                 0.012706   0.069070   0.063553  -0.005517  -0.171035
BODIPY                 0.011339   0.070581   0.065682  -0.004899  -0.107776
pentaceneN4O2          0.008503   0.065806   0.061273  -0.004533  -0.149587
benzodithiopheneO2     0.011503   0.084817   0.080406  -0.004410  -0.083798
quinacridone           0.010915   0.065178   0.060834  -0.004344  -0.160732
dibenzoindigo          0.010995   0.057430   0.053283  -0.004147  -0.178304
anthraquinone          0.009615   0.056414   0.052904  -0.003511  -0.087765
carbazoleNO2b          0.009310   0.064226   0.061203  -0.003023  -0.075575
pentaceneN2Cl4         0.005850   0.034607   0.031687  -0.002920  -0.102192
triphenyltriazine      0.008022   0.051287   0.049044  -0.002244  -0.089741
ICZbCl2c               0.006243   0.048705   0.047304  -0.001401  -0.046240
phenazine              0.004229   0.049295   0.048033  -0.001262  -0.029031
thiazolothiazolePh     0.006310   0.046400   0.045197  -0.001202  -0.037273
PBBTZ                  0.009216   0.059316   0.058251  -0.001065  -0.033027
ICZb                   0.005675   0.048949   0.048392  -0.000557  -0.018371
spirobidibenzosilole   0.006440   0.048334   0.047868  -0.000467  -0.019598
NDFPh                  0.005949   0.043022   0.042602  -0.000420  -0.018906
OPV3CN                 0.004661   0.041958   0.041541  -0.000417  -0.017921
carbazole              0.004884   0.046748   0.046678  -0.000069  -0.001594
C60                    0.000007   0.000013   0.000012  -0.000001  -0.000089
TTPa                   0.004535   0.054894   0.054968   0.000074   0.002602
TTPc                   0.004387   0.053808   0.054055   0.000247   0.008655
TTPb                   0.004215   0.053061   0.053455   0.000394   0.013803
TPP                    0.003124   0.041298   0.042077   0.000779   0.027260
triphenylbenzene       0.001776   0.034848   0.035755   0.000907   0.039019
coronene               0.001144   0.027888   0.028882   0.000994   0.036761
chrysene               0.001255   0.032341   0.033413   0.001073   0.033257
hexacene               0.001197   0.031127   0.032244   0.001118   0.048056
pentacene              0.001228   0.031669   0.032817   0.001148   0.042484
triphenylene           0.001252   0.031903   0.033087   0.001184   0.036696
tetracene              0.001269   0.032415   0.033607   0.001192   0.036941
pyrene                 0.001371   0.031511   0.032724   0.001213   0.032748
perylene               0.001375   0.030442   0.031661   0.001219   0.040211
anthracene             0.001324   0.033511   0.034767   0.001256   0.031392
spirobifluorene        0.001648   0.033391   0.034737   0.001346   0.056516
naphthalene            0.001404   0.035279   0.036633   0.001354   0.025721
stilbene               0.001628   0.036190   0.037606   0.001416   0.038239
triptycene             0.001608   0.032559   0.034038   0.001479   0.051774
benzene                0.001593   0.038488   0.040018   0.001530   0.019892
IF12b                  0.002063   0.033641   0.035275   0.001634   0.057179
IF21a                  0.002029   0.033540   0.035229   0.001688   0.059089
oligothiophene6        0.002335   0.052557   0.054539   0.001982   0.089186
DATT                   0.003098   0.032037   0.034035   0.001998   0.097899
benzotrithiopheneA     0.002511   0.051139   0.053241   0.002102   0.046249
oligothiophene4        0.002384   0.052892   0.055016   0.002123   0.065822
DNBDT                  0.003500   0.032216   0.034353   0.002137   0.091894
TTAb                   0.002587   0.042022   0.044182   0.002160   0.079935
DNTT                   0.003305   0.033798   0.036038   0.002240   0.082888
TTAa                   0.002809   0.042349   0.044664   0.002315   0.085665
bithiophene            0.002542   0.053718   0.056046   0.002329   0.039590
NDT                    0.003008   0.040875   0.043252   0.002376   0.059406
BTBT                   0.003505   0.037762   0.040404   0.002642   0.066060
benzotrithiophene      0.003451   0.047015   0.049882   0.002867   0.063080
TTTT                   0.003642   0.053126   0.056258   0.003133   0.059522
HMTTF                  0.004734   0.036504   0.040511   0.004007   0.116214
DBTTF                  0.005656   0.039622   0.043933   0.004311   0.116398
TTF                    0.006764   0.052386   0.058187   0.005802   0.087025
