  system                dq      CA1     CA2     dCA   dCA*na
benzeneF6              0.017   0.071   0.055  -0.016  -0.208
TCNQ-F4                0.014   0.080   0.067  -0.013  -0.280
triazine               0.014   0.100   0.089  -0.011  -0.109
TCNQ-F2                0.012   0.082   0.072  -0.010  -0.215
NDI                    0.016   0.094   0.085  -0.009  -0.246
benzeneO2              0.014   0.084   0.077  -0.008  -0.099
PTCDA                  0.014   0.071   0.064  -0.007  -0.273
PDI                    0.013   0.073   0.066  -0.007  -0.267
TCNQ                   0.010   0.071   0.064  -0.006  -0.136
indigoCl2              0.013   0.068   0.062  -0.006  -0.192
indigo                 0.013   0.069   0.064  -0.006  -0.171
BODIPY                 0.011   0.071   0.066  -0.005  -0.108
pentaceneN4O2          0.009   0.066   0.061  -0.005  -0.150
benzodithiopheneO2     0.012   0.085   0.080  -0.004  -0.084
quinacridone           0.011   0.065   0.061  -0.004  -0.161
dibenzoindigo          0.011   0.057   0.053  -0.004  -0.178
anthraquinone          0.010   0.056   0.053  -0.004  -0.088
carbazoleNO2b          0.009   0.064   0.061  -0.003  -0.076
pentaceneN2Cl4         0.006   0.035   0.032  -0.003  -0.102
triphenyltriazine      0.008   0.051   0.049  -0.002  -0.090
ICZbCl2c               0.006   0.049   0.047  -0.001  -0.046
phenazine              0.004   0.049   0.048  -0.001  -0.029
thiazolothiazolePh     0.006   0.046   0.045  -0.001  -0.037
PBBTZ                  0.009   0.059   0.058  -0.001  -0.033
ICZb                   0.006   0.049   0.048  -0.001  -0.018
spirobidibenzosilole   0.006   0.048   0.048  -0.000  -0.020
NDFPh                  0.006   0.043   0.043  -0.000  -0.019
OPV3CN                 0.005   0.042   0.042  -0.000  -0.018
carbazole              0.005   0.047   0.047  -0.000  -0.002
C60                    0.000   0.000   0.000  -0.000  -0.000
TTPa                   0.005   0.055   0.055   0.000   0.003
TTPc                   0.004   0.054   0.054   0.000   0.009
TTPb                   0.004   0.053   0.053   0.000   0.014
TPP                    0.003   0.041   0.042   0.001   0.027
triphenylbenzene       0.002   0.035   0.036   0.001   0.039
coronene               0.001   0.028   0.029   0.001   0.037
chrysene               0.001   0.032   0.033   0.001   0.033
hexacene               0.001   0.031   0.032   0.001   0.048
pentacene              0.001   0.032   0.033   0.001   0.042
triphenylene           0.001   0.032   0.033   0.001   0.037
tetracene              0.001   0.032   0.034   0.001   0.037
pyrene                 0.001   0.032   0.033   0.001   0.033
perylene               0.001   0.030   0.032   0.001   0.040
anthracene             0.001   0.034   0.035   0.001   0.031
spirobifluorene        0.002   0.033   0.035   0.001   0.057
naphthalene            0.001   0.035   0.037   0.001   0.026
stilbene               0.002   0.036   0.038   0.001   0.038
triptycene             0.002   0.033   0.034   0.001   0.052
benzene                0.002   0.038   0.040   0.002   0.020
IF12b                  0.002   0.034   0.035   0.002   0.057
IF21a                  0.002   0.034   0.035   0.002   0.059
oligothiophene6        0.002   0.053   0.055   0.002   0.089
DATT                   0.003   0.032   0.034   0.002   0.098
benzotrithiopheneA     0.003   0.051   0.053   0.002   0.046
oligothiophene4        0.002   0.053   0.055   0.002   0.066
DNBDT                  0.003   0.032   0.034   0.002   0.092
TTAb                   0.003   0.042   0.044   0.002   0.080
DNTT                   0.003   0.034   0.036   0.002   0.083
TTAa                   0.003   0.042   0.045   0.002   0.086
bithiophene            0.003   0.054   0.056   0.002   0.040
NDT                    0.003   0.041   0.043   0.002   0.059
BTBT                   0.004   0.038   0.040   0.003   0.066
benzotrithiophene      0.003   0.047   0.050   0.003   0.063
TTTT                   0.004   0.053   0.056   0.003   0.060
HMTTF                  0.005   0.037   0.041   0.004   0.116
DBTTF                  0.006   0.040   0.044   0.004   0.116
TTF                    0.007   0.052   0.058   0.006   0.087
