V0=11.478(21) Ao^3/atom, alpha(300K)=83 ppm/K, ndata=13, Tmin=5 K, Tmax=298 K
C60, 2023-04-05
                     CCDC   SG     nm   T    V1     a       b       c     alpha   beta    gamma
R2SCAN-D3paw900             Pa-3    4    0 11.533 14.041  14.041  14.041  90.00   90.00   90.00
PBE-D3paw900                Pa-3    4    0 11.702 14.109  14.109  14.109  90.00   90.00   90.00
exp                         Pa-3    4    5 11.534 14.041  14.041  14.041  90.00   90.00   90.00
David91                     Pa-3    4    5 11.534 14.041  14.041  14.041  90.00   90.00   90.00
2036797            2036797  Pa-3    4   30 11.502 14.028  14.028  14.028  90.00   90.00   90.00
1260998            1260998  Fm3m    4  107 11.606 14.070  14.070  14.070  90.00   90.00   90.00
1261002            1261002  Pa3     4  110 11.561 14.052  14.052  14.052  90.00   90.00   90.00
1260995            1260995  Fm3m    4  142 11.606 14.070  14.070  14.070  90.00   90.00   90.00
1261001            1261001  Pa3     4  153 11.583 14.061  14.061  14.061  90.00   90.00   90.00
1260993            1260993  Fm3m    4  180 11.655 14.090  14.090  14.090  90.00   90.00   90.00
1260997            1260997  Pa3     4  200 11.598 14.067  14.067  14.067  90.00   90.00   90.00
1260992            1260992  Fm3m    4  220 11.705 14.110  14.110  14.110  90.00   90.00   90.00
1260989            1260989  Fm3m    4  240 11.705 14.110  14.110  14.110  90.00   90.00   90.00
1260988            1260988  Fm3m    4  266 11.755 14.130  14.130  14.130  90.00   90.00   90.00
1260985            1260985  Fm3m    4  295 11.810 14.152  14.152  14.152  90.00   90.00   90.00
1260991            1260991  Fm3m    4  298 11.780 14.140  14.140  14.140  90.00   90.00   90.00
