   gap  cgap  ogap  sgap   system
  3.83  4.45  1.91  0.82  hexacene
  4.06  4.69  1.99  1.05  pentaceneN2Cl4
  4.34  5.05  2.30  1.17  pentacene
  4.50  5.01  2.37  1.34  dibenzoindigo
  4.68  5.39  2.78  1.74  PDI
  4.70  5.43  2.80  1.75  PTCDA
  4.73  5.63  3.16  1.14  TCNQ-F4
  4.76  5.43  2.51  1.34  indigoCl2
  4.80  5.36  2.87  2.12  DATT
  4.83  5.72  3.25  1.22  TCNQ-F2
  4.86  5.61  2.58  1.39  indigo
  4.88  5.77  3.27  1.24  TCNQ
  4.89  5.66  2.57  2.43  C60
  5.01  5.86  2.84  1.66  tetracene
  5.03  5.51  2.93  2.26  oligothiophene6
  5.19  5.88  3.11  1.81  PBBTZ
  5.27  6.14  3.19  2.07  perylene
  5.33  6.29  3.14  1.65  BODIPY
  5.39  6.14  3.14  2.36  quinacridone
  5.48  6.14  3.26  2.36  oligothiophene4
  5.58  6.18  3.29  2.67  TTPa
  5.61  6.28  3.48  2.58  DNTT
  5.66  6.31  3.49  2.98  DNBDT
  5.66  6.25  3.54  2.68  OPV3CN
  5.71  6.37  3.39  2.82  TTPc
  5.75  6.58  3.44  2.99  TTPb
  5.83  6.43  3.52  2.65  TTAa
  5.91  7.08  3.66  2.82  TTAb
  5.96  6.98  3.60  2.34  anthracene
  5.97  6.62  3.75  3.00  NDFPh
  6.06  6.81  3.65  2.97  ICZbCl2c
  6.07  7.74  3.78  3.40  NDI
  6.10  6.87  2.95  2.85  DBTTF
  6.10  7.01  2.89  2.78  HMTTF
  6.11  7.98  3.42  2.97  phenazine
  6.12  6.81  3.77  2.76  thiazolothiazolePh
  6.17  7.17  4.03  2.68  pyrene
  6.19  7.81  2.89  3.46  TTF
  6.21  7.25  3.75  3.11  carbazoleNO2b
  6.21  7.01  3.74  3.05  ICZb
  6.24  7.09  3.55  3.19  coronene
  6.39  7.23  3.04  3.38  pentaceneN4O2
  6.42  8.01  3.37  2.93  benzodithiopheneO2
  6.62  7.50  4.24  2.86  stilbene
  6.63  7.53  4.20  3.05  TTTT
  6.64  7.40  4.27  3.31  IF12b
  6.68  7.54  4.13  3.20  chrysene
  6.69  7.59  4.27  3.18  BTBT
  6.72  7.49  4.35  3.36  IF21a
  6.82  7.93  4.23  2.94  bithiophene
  6.91  8.66  2.92  2.65  benzeneO2
  6.94  7.85  4.14  3.45  NDT
  7.05  8.07  4.63  3.81  benzotrithiopheneA
  7.12  8.17  3.37  3.29  anthraquinone
  7.21  7.93  4.42  3.56  spirobidibenzosilole
  7.22  8.28  4.42  3.85  carbazole
  7.31  8.05  4.73  3.70  spirobifluorene
  7.35  8.61  4.69  3.36  naphthalene
  7.36  8.45  4.39  4.48  triphenylene
  7.36  8.27  4.42  3.63  benzotrithiophene
  7.44  8.58  4.49  4.35  triphenyltriazine
  7.68  8.61  4.88  4.96  TPP
  7.68  8.33  4.80  4.45  triphenylbenzene
  8.21  9.10  5.24  4.74  triptycene
  9.08 10.95  4.77  4.62  triazine
  9.38 11.09  5.52  5.47  benzeneF6
  9.45 11.01  5.57  4.45  benzene
