   gap  cgap  ogap  sgap   system
  0.80  3.99  1.18  0.55  hexacene
  0.85  4.19  1.20  0.68  pentaceneN2Cl4
  1.08  4.43  1.63  1.00  dibenzoindigo
  1.14  4.59  1.57  0.87  pentacene
  1.17  4.92  1.81  1.03  indigoCl2
  1.26  5.18  1.96  1.11  indigo
  1.34  5.35  2.04  0.99  TCNQ-F4
  1.40  5.43  2.45  1.04  TCNQ-F2
  1.43  5.48  2.76  1.06  TCNQ
  1.47  4.83  2.02  1.29  PDI
  1.48  4.33  1.76  1.33  DATT
  1.49  4.88  2.14  1.30  PTCDA
  1.54  4.26  1.98  1.42  oligothiophene6
  1.62  5.39  2.11  1.32  tetracene
  1.63  5.37  1.68  1.63  pentaceneN4O2
  1.65   NaN  1.67   NaN  C60
  1.67  5.38  2.37  1.48  PBBTZ
  1.72  7.45  1.88  1.55  benzeneO2
  1.85  5.39  2.21  1.78  quinacridone
  1.88  5.62  2.52  1.62  perylene
  1.88  5.23  2.49  1.70  oligothiophene4
  1.95  5.93  2.03  1.83  HMTTF
  1.97  6.43  2.05  1.85  TTF
  2.00  5.80  2.07  1.90  DBTTF
  2.00  6.56  2.96  1.75  BODIPY
  2.03  5.18  2.57  1.83  OPV3CN
  2.09  5.44  2.39  2.04  TTPa
  2.10  5.40  2.43  1.92  DNTT
  2.13  5.52  2.33  2.07  TTPc
  2.13  5.20  2.32  2.05  DNBDT
  2.14  6.47  2.19  2.28  NDI
  2.16  6.78  2.28  2.08  anthraquinone
  2.16  5.52  2.37  2.10  TTPb
  2.18  7.15  2.31  2.98  benzodithiopheneO2
  2.28  6.78  2.57  2.60  carbazoleNO2b
  2.30  5.62  2.63  2.07  TTAa
  2.32  6.65  2.47  2.06  phenazine
  2.32  6.51  2.88  1.98  anthracene
  2.36  5.94  2.99  2.14  thiazolothiazolePh
  2.37  5.51  2.72  2.23  NDFPh
  2.39  5.65  2.69  2.19  TTAb
  2.41  5.94  2.69  2.32  ICZbCl2c
  2.54  6.24  2.84  2.45  ICZb
  2.63  6.70  3.36  2.28  pyrene
  2.76  6.83  3.60  2.41  stilbene
  2.85  6.91  3.55  2.57  TTTT
  2.87  7.43  3.70  2.53  bithiophene
  2.87  6.43  2.90  2.63  coronene
  2.95  6.92  3.36  2.71  BTBT
  2.96  6.80  3.35  2.68  chrysene
  2.98  6.64  3.56  2.75  IF12b
  3.02  6.70  3.61  2.79  IF21a
  3.16  7.10  3.37  2.91  NDT
  3.18  7.13  3.42  2.95  benzotrithiopheneA
  3.25  6.91  3.26  3.40  triphenyltriazine
  3.32  7.69  3.64  3.21  carbazole
  3.33  6.68  3.38  3.07  spirobidibenzosilole
  3.40  8.17  4.06  2.96  naphthalene
  3.43  6.86  3.53  3.20  spirobifluorene
  3.50  7.57  3.62  3.20  benzotrithiophene
  3.56  7.45  3.60  3.28  triphenylene
  3.59  7.42  3.72  3.59  TPP
  3.66  7.15  3.69  3.34  triphenylbenzene
  3.83 10.21  3.84  3.87  triazine
  4.12  7.92  4.32  3.84  triptycene
  4.54  9.98  4.66  4.24  benzeneF6
  5.13   NaN   NaN  4.38  benzene
