2D scan of cryst_PBE-D3paw900_HA (opttol=-2):
   x1      x2       E         V1        a        b        c       alp      bet      gam    file
  5.8837  7.5507  -6.91370  10.9414   11.820    5.884    7.851   90.000  105.870   90.000  cg3
  5.9006  7.5368  -6.91370  10.9331   11.800    5.901    7.835   90.000  105.846   90.000  43
  5.9061  7.5371  -6.91370  10.9363   11.793    5.906    7.829   90.000  105.702   90.000  55
  5.8973  7.5485  -6.91370  10.9424   11.799    5.897    7.838   90.000  105.622   90.000  45
  5.9020  7.5346  -6.91370  10.9329   11.801    5.902    7.828   90.000  105.725   90.000  44
  5.9107  7.5270  -6.91370  10.9331   11.796    5.911    7.826   90.000  105.876   90.000  53
  5.8749  7.5624  -6.91370  10.9276   11.806    5.875    7.856   90.000  105.720   90.000  34
  5.9051  7.5330  -6.91370  10.9368   11.801    5.905    7.835   90.000  105.949   90.000  42
  5.8682  7.5684  -6.91370  10.9176   11.799    5.868    7.862   90.000  105.701   90.000  24
  5.8837  7.5514  -6.91370  10.9402   11.819    5.884    7.851   90.000  105.868   90.000  33
  5.9154  7.5207  -6.91370  10.9322   11.795    5.915    7.814   90.000  105.759   90.000  54
  5.8692  7.5696  -6.91370  10.9196   11.798    5.869    7.862   90.000  105.670   90.000  25
  5.8906  7.5409  -6.91370  10.9310   11.812    5.891    7.844   90.000  105.975   90.000  32
  5.9062  7.5292  -6.91370  10.9266   11.794    5.906    7.831   90.000  105.949   90.000  51
  5.8715  7.5783  -6.91370  10.9413   11.803    5.871    7.868   90.000  105.604   90.000  35
  5.8609  7.5753  -6.91370  10.9165   11.802    5.861    7.872   90.000  105.774   90.000  13
  5.9039  7.5293  -6.91370  10.9298   11.802    5.904    7.834   90.000  106.022   90.000  41
  5.8761  7.5535  -6.91369  10.9211   11.811    5.876    7.858   90.000  106.002   90.000  21
  5.8923  7.5376  -6.91369  10.9251   11.807    5.892    7.843   90.000  106.033   90.000  31
  5.9187  7.5216  -6.91369  10.9429   11.799    5.919    7.824   90.000  105.984   90.000  52
  5.8604  7.5716  -6.91369  10.9170   11.809    5.860    7.869   90.000  105.808   90.000  23
  5.8586  7.5731  -6.91369  10.9090   11.802    5.859    7.867   90.000  105.718   90.000  14
  5.8585  7.5809  -6.91369  10.9176   11.799    5.858    7.873   90.000  105.654   90.000  15
  5.8577  7.5735  -6.91369  10.9138   11.809    5.858    7.874   90.000  105.887   90.000  12
  5.8643  7.5635  -6.91369  10.9180   11.815    5.864    7.867   90.000  105.963   90.000  22
  5.8621  7.5695  -6.91369  10.9202   11.813    5.862    7.874   90.000  105.995   90.000  11
 -----------------------------------------------------------------------------------------------
  5.8846  7.5515  -6.91370  10.9273   11.803    5.885    7.849   90.000  105.832   90.000  Mean
  0.0207  0.0199   0.00000   0.0098    0.007    0.021    0.019    0.000    0.139    0.000  StandardDeviation
  5.8577  7.5207  -6.91370  10.9090   11.793    5.858    7.814   90.000  105.604   90.000  min
  5.9187  7.5809  -6.91369  10.9429   11.819    5.919    7.874   90.000  106.033   90.000  max
