2D cg2-scan of cryst_PBE-D3paw900 (opttol=1e-3):
   x1      x2       E         V1        a        b        c       alp      bet      gam      dE res(ueV) file
  8.1820 14.5380  -6.60770   9.6748    8.182   14.538   11.063   90.000   90.919   90.000    757    -7   11
  8.1820 14.6863  -6.60799   9.7735    8.182   14.686   11.063   90.000   90.919   90.000    471    -1   12
  8.1820 14.8346  -6.60817   9.8722    8.182   14.835   11.063   90.000   90.919   90.000    284    -6   13
  8.1820 14.9830  -6.60827   9.9710    8.182   14.983   11.063   90.000   90.919   90.000    185    -9   14
  8.1820 15.1313  -6.60829  10.0697    8.182   15.131   11.063   90.000   90.919   90.000    168    -3   15
  8.2655 14.5380  -6.60803   9.7735    8.265   14.538   11.063   90.000   90.928   90.000    425     8   21
  8.2655 14.6863  -6.60825   9.8733    8.265   14.686   11.063   90.000   90.928   90.000    204    15   22
  8.2655 14.8346  -6.60838   9.9730    8.265   14.835   11.063   90.000   90.928   90.000     79    10   23
  8.2655 14.9830  -6.60842  10.0727    8.265   14.983   11.063   90.000   90.928   90.000     34     8   24
  8.2655 15.1313  -6.60839  10.1724    8.265   15.131   11.063   90.000   90.928   90.000     68    11   25
  8.3490 14.5380  -6.60822   9.8722    8.349   14.538   11.063   90.000   90.938   90.000    237    -2   31
  8.3490 14.6863  -6.60838   9.9730    8.349   14.686   11.063   90.000   90.938   90.000     79     4   32
  8.3490 14.8346  -6.60845  10.0737    8.349   14.835   11.063   90.000   90.938   90.000      9    -1   33
  8.3490 14.9830  -6.60844  10.1745    8.349   14.983   11.063   90.000   90.938   90.000     16    -4   34
  8.3490 15.1313  -6.60836  10.2752    8.349   15.131   11.063   90.000   90.938   90.000     94     1   35
  8.4324 14.5380  -6.60829   9.9710    8.432   14.538   11.063   90.000   90.947   90.000    170   -12   41
  8.4324 14.6863  -6.60839  10.0727    8.432   14.686   11.063   90.000   90.947   90.000     67    -6   42
  8.4324 14.8346  -6.60841  10.1745    8.432   14.835   11.063   90.000   90.947   90.000     47   -10   43
  8.4324 14.9830  -6.60836  10.2762    8.432   14.983   11.063   90.000   90.947   90.000    100   -13   44
  8.4324 15.1313  -6.60824  10.3779    8.432   15.131   11.063   90.000   90.947   90.000    219    -7   45
  8.5159 14.5380  -6.60826  10.0697    8.516   14.538   11.063   90.000   90.957   90.000    198     3   51
  8.5159 14.6863  -6.60831  10.1724    8.516   14.686   11.063   90.000   90.957   90.000    143     9   52
  8.5159 14.8346  -6.60829  10.2752    8.516   14.835   11.063   90.000   90.957   90.000    170     5   53
  8.5159 14.9830  -6.60819  10.3779    8.516   14.983   11.063   90.000   90.957   90.000    266     1   54
  8.5159 15.1313  -6.60803  10.4807    8.516   15.131   11.063   90.000   90.957   90.000    423     6   55
 -----------------------------------------------------------------------------------------------------------
  8.3530 14.8963  -6.60846  10.1205    8.353   14.896   11.063   90.000   90.938   90.000                predicted
  8.3490 14.8346  -6.60845  10.0737    8.349   14.835   11.063   90.000   90.938   90.000      9    -1   cg3
