Runtime for cryst_PBE-D3paw900, 2023-03-05
 sys                 conf  method       formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
anthracene           cryst PBE-D3paw900 C28H20         P21/c     4 1  2 1  2  48   66  108  456 1650   14   1  0.08  310  72 72  4 6.3.1/LinuxIFC
anthraquinone        cryst PBE-D3paw900 C28H16O4       P21/c     4 1  2 1  2  48   76  108  464  512   14   1  0.03  287  72 72  4 6.3.1/LinuxIFC
benzene              cryst PBE-D3paw900 C24H24         Pbca      8 1  4 1  2  48   60   90  465  960   14   1  0.04  274  72 72  4 6.3.1/LinuxIFC
benzeneF6            cryst PBE-D3paw900 C36F36         P21/n     4 1  6 2  1  72  198  252  948  384   13   1  0.08  230  72 72  4 6.3.1/LinuxIFC
benzeneO2            cryst PBE-D3paw900 C12H8O4        P21/c     4 1  2 1  2  24   40   54  258 1728   13   1  0.02  331  72 72  4 6.3.1/LinuxIFC
benzodithiopheneO2   cryst PBE-D3paw900 C20H8O4S4      P21/n     4 1  2 1  2  36   68   90  428  720   14   1  0.02  276  72 72  4 6.3.1/LinuxIFC
benzotrithiophene    cryst PBE-D3paw900 C48H24S12      P21/n     4 1  4 1  1  84  144  198 1047  288   14   1  0.06  240  72 72  4 6.3.1/LinuxIFC
benzotrithiopheneA   cryst PBE-D3paw900 C48H24S12      P21       2 1  4 2  1  84  144  198 1020  288   15   1  0.06  212  72 72  4 6.3.1/LinuxIFC
bithiophene          cryst PBE-D3paw900 C16H12S4       P21/c     4 1  2 1  2  32   50   72  377 2431   13   1  0.05  315  72 72  4 6.3.1/LinuxIFC
BODIPY               cryst PBE-D3paw900 B8C72F16H56N16 C2/c      4 2  4 1  1  84  140  198  836  400   14   1  0.05  148  72 72  4 6.3.1/LinuxIFC
BTBT                 cryst PBE-D3paw900 C28H16S4       P21/c     4 1  2 1  2  48   76  108  527 1440   14   1  0.07  272  72 72  4 6.3.1/LinuxIFC
C60                  cryst PBE-D3paw900 C240           Pa-3     24 1  4 1  6 240  480  612 2801  343   15   1  0.16   32  72 72  4 6.3.1/LinuxIFC
carbazole            cryst PBE-D3paw900 C48H36N4       Pnma      8 1  4 1  2  88  124  180  813  560   14   1  0.09  227  72 72  4 6.3.1/LinuxIFC
carbazoleNO2b        cryst PBE-D3paw900 C48H32N8O8     P21/n     4 1  4 1  1  96  156  216  954  288   14   1  0.07  226  72 72  4 6.3.1/LinuxIFC
chrysene             cryst PBE-D3paw900 C72H48         C12/n1*   8 1  4 1  2 120  168  234 1132  360   14   1  0.11  194  72 72  4 6.3.1/LinuxIFC
coronene             cryst PBE-D3paw900 C48H24         P21/n     4 1  2 1  2  72  108  162  689  640   14   1  0.08  263  72 72  4 6.3.1/LinuxIFC
DATT                 cryst PBE-D3paw900 C60H32S4       P21       2 1  2 1  1  96  148  198  961  572   14   1  0.11  201  72 72  4 6.3.1/LinuxIFC
DBTTF                cryst PBE-D3paw900 C28H16S8       P21/c     4 1  2 1  2  52   88  126  610  480   13   1  0.03  292  72 72  4 6.3.1/LinuxIFC
dibenzoindigo        cryst PBE-D3paw900 C48H28N4O4     P21/n     4 1  2 1  2  84  132  180  806  663   14   1  0.11  229  72 72  4 6.3.1/LinuxIFC
DNBDT                cryst PBE-D3paw900 C52H28S4       P21/n     4 1  2 1  2  84  130  180  838  480   14   1  0.08  230  72 72  4 6.3.1/LinuxIFC
DNTT                 cryst PBE-D3paw900 C44H24S4       P21       2 1  2 1  1  72  112  162  752  715   14   1  0.09  240  72 72  4 6.3.1/LinuxIFC
hexacene             cryst PBE-D3paw900 C52H32         P-1       2 1  2 2  2  84  120  180  759  715   14   1  0.13  299  72 72  4 6.3.1/LinuxIFC
HMTTF                cryst PBE-D3paw900 C48H48S16      P21/c     4 1  4 1  1 112  168  234 1143  588   14   1  0.18  209  72 72  4 6.3.1/LinuxIFC
ICZb                 cryst PBE-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  589  480   14   1  0.04  273  72 72  4 6.3.1/LinuxIFC
