Runtime for cryst_PBE-D3paw900_cg3, 2023-03-05
 sys                 conf  method       formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
anthracene           cryst PBE-D3paw900 C28H20         P21/c     4 1  2 1  2  48   66  108  456   96   18   3  0.00  115  72 72  4 6.3.1/LinuxIFC
anthraquinone        cryst PBE-D3paw900 C28H16O4       P21/c     4 1  2 1  2  48   76  108  464   64  264  62  0.03  128  72 72  4 6.3.1/LinuxIFC
benzene              cryst PBE-D3paw900 C24H24         Pbca      8 1  4 1  2  48   60   90  465  144   18   3  0.00   90  72 72  4 6.3.1/LinuxIFC
benzeneF6            cryst PBE-D3paw900 C36F36         P21/n     4 1  6 2  1  72  198  252  948   48  196  47  0.09  129  72 72  4 6.3.1/LinuxIFC
benzeneO2            cryst PBE-D3paw900 C12H8O4        P21/c     4 1  2 1  2  24   40   54  258  216  238  53  0.01  112  72 72  4 6.3.1/LinuxIFC
benzodithiopheneO2   cryst PBE-D3paw900 C20H8O4S4      P21/n     4 1  2 1  2  36   68   90  428   50  208  51  0.01  116  72 72  4 6.3.1/LinuxIFC
benzotrithiophene    cryst PBE-D3paw900 C48H24S12      P21/n     4 1  4 1  1  84  144  198 1047   36  417  90  0.12  128  72 72  4 6.3.1/LinuxIFC
benzotrithiopheneA   cryst PBE-D3paw900 C48H24S12      P21       2 1  4 2  1  84  144  198 1020   36  324  72  0.08  112  72 72  4 6.3.1/LinuxIFC
bithiophene          cryst PBE-D3paw900 C16H12S4       P21/c     4 1  2 1  2  32   50   72  377  120   23   5  0.00  129  72 72  4 6.3.1/LinuxIFC
BODIPY               cryst PBE-D3paw900 B8C72F16H56N16 C2/c      4 2  4 1  1  84  140  198  836   50   24   5  0.01   89  72 72  4 6.3.1/LinuxIFC
BTBT                 cryst PBE-D3paw900 C28H16S4       P21/c     4 1  2 1  2  48   76  108  527   90   19   3  0.00  109  72 72  4 6.3.1/LinuxIFC
C60                  cryst PBE-D3paw900 C240           Pa-3     24 1  4 1  6 240  480  612 2801   27  167  44  0.12   27  72 72  4 6.3.1/LinuxIFC
carbazole            cryst PBE-D3paw900 C48H36N4       Pnma      8 1  4 1  2  88  124  180  813   48   98  36  0.03  143  72 72  4 6.3.1/LinuxIFC
carbazoleNO2b        cryst PBE-D3paw900 C48H32N8O8     P21/n     4 1  4 1  1  96  156  216  954   36   20   3  0.01  108  72 72  4 6.3.1/LinuxIFC
chrysene             cryst PBE-D3paw900 C72H48         C12/n1*   8 1  4 1  2 120  168  234 1132   20   23   5  0.00   96  72 72  4 6.3.1/LinuxIFC
coronene             cryst PBE-D3paw900 C48H24         P21/n     4 1  2 1  2  72  108  162  689   36  304  76  0.04  125  72 72  4 6.3.1/LinuxIFC
DATT                 cryst PBE-D3paw900 C60H32S4       P21       2 1  2 1  1  96  148  198  961   40   26   7  0.01  109  72 72  4 6.3.1/LinuxIFC
DBTTF                cryst PBE-D3paw900 C28H16S8       P21/c     4 1  2 1  2  52   88  126  610   72  279  66  0.04  117  72 72  4 6.3.1/LinuxIFC
dibenzoindigo        cryst PBE-D3paw900 C48H28N4O4     P21/n     4 1  2 1  2  84  132  180  806   30   52  19  0.01  144  72 72  4 6.3.1/LinuxIFC
DNBDT                cryst PBE-D3paw900 C52H28S4       P21/n     4 1  2 1  2  84  130  180  838   54   18   3  0.00   92  72 72  4 6.3.1/LinuxIFC
DNTT                 cryst PBE-D3paw900 C44H24S4       P21       2 1  2 1  1  72  112  162  752   40   30   9  0.01  136  72 72  4 6.3.1/LinuxIFC
hexacene             cryst PBE-D3paw900 C52H32         P-1       2 1  2 2  2  84  120  180  759   40   26   7  0.01  154  72 72  4 6.3.1/LinuxIFC
HMTTF                cryst PBE-D3paw900 C48H48S16      P21/c     4 1  4 1  1 112  168  234 1143   54   18   3  0.01   82  72 72  4 6.3.1/LinuxIFC
ICZb                 cryst PBE-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  589   48   19   3  0.00  119  72 72  4 6.3.1/LinuxIFC
ICZbCl2c             cryst PBE-D3paw900 C36Cl4H20N4    P21/c     4 1  2 1  2  64  106  144  662   48   17   3  0.00  130  72 72  4 6.3.1/LinuxIFC
IF12b                cryst PBE-D3paw900 C40H28         P21/n     4 1  2 1  2  68   94  144  627   48  292  74  0.05  139  72 72  4 6.3.1/LinuxIFC
