Runtime for cryst_R2SCAN-D3paw900, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
anthracene           cryst R2SCAN-D3paw900 C28H20         P21/c     4 1  2 1  2  48   66  108  445 1650   14   1  0.13  536  72 72  4 6.3.1/LinuxIFC
anthraquinone        cryst R2SCAN-D3paw900 C28H16O4       P21/c     4 1  2 1  2  48   76  108  455  512   13   1  0.05  566  72 72  4 6.3.1/LinuxIFC
benzene              cryst R2SCAN-D3paw900 C24H24         Pbca      8 1  4 1  2  48   60   90  447  960   15   1  0.06  446  72 72  4 6.3.1/LinuxIFC
benzeneF6            cryst R2SCAN-D3paw900 C36F36         P21/n     4 1  6 2  1  72  198  252  862  384   15   1  0.20  520  72 72  4 6.3.1/LinuxIFC
benzeneO2            cryst R2SCAN-D3paw900 C12H8O4        P21/c     4 1  2 1  2  24   40   54  247 1728   14   1  0.03  493  72 72  4 6.3.1/LinuxIFC
benzodithiopheneO2   cryst R2SCAN-D3paw900 C20H8O4S4      P21/n     4 1  2 1  2  36   68   90  416  720   13   1  0.04  536  72 72  4 6.3.1/LinuxIFC
benzotrithiophene    cryst R2SCAN-D3paw900 C48H24S12      P21/n     4 1  4 1  1  84  144  198 1031  288   14   1  0.16  621  72 72  4 6.3.1/LinuxIFC
benzotrithiopheneA   cryst R2SCAN-D3paw900 C48H24S12      P21       2 1  4 2  1  84  144  198 1010  288   15   1  0.14  512  72 72  4 6.3.1/LinuxIFC
bithiophene          cryst R2SCAN-D3paw900 C16H12S4       P21/c     4 1  2 1  2  32   50   72  373 2431   13   1  0.09  570  72 72  4 6.3.1/LinuxIFC
BODIPY               cryst R2SCAN-D3paw900 B8C72F16H56N16 C2/c      4 2  4 1  1  84  140  198  802  400   15   1  0.12  384  72 72  4 6.3.1/LinuxIFC
BTBT                 cryst R2SCAN-D3paw900 C28H16S4       P21/c     4 1  2 1  2  48   76  108  521 1440   14   1  0.15  545  72 72  4 6.3.1/LinuxIFC
C60                  cryst R2SCAN-D3paw900 C240           Pa-3     24 1  4 1  6 240  480  612 2773  343   16   1  0.37   69  72 72  4 6.3.1/LinuxIFC
carbazole            cryst R2SCAN-D3paw900 C48H36N4       Pnma      8 1  4 1  2  88  124  180  794  560   14   1  0.17  445  72 72  4 6.3.1/LinuxIFC
carbazoleNO2b        cryst R2SCAN-D3paw900 C48H32N8O8     P21/n     4 1  4 1  1  96  156  216  929  288   14   1  0.15  523  72 72  4 6.3.1/LinuxIFC
chrysene             cryst R2SCAN-D3paw900 C72H48         C12/n1*   8 1  4 1  2 120  168  234 1106  360   15   1  0.23  391  72 72  4 6.3.1/LinuxIFC
coronene             cryst R2SCAN-D3paw900 C48H24         P21/n     4 1  2 1  2  72  108  162  683  640   14   1  0.16  531  72 72  4 6.3.1/LinuxIFC
DATT                 cryst R2SCAN-D3paw900 C60H32S4       P21       2 1  2 1  1  96  148  198  951  572   14   1  0.24  417  72 72  4 6.3.1/LinuxIFC
DBTTF                cryst R2SCAN-D3paw900 C28H16S8       P21/c     4 1  2 1  2  52   88  126  605  480   14   1  0.07  617  72 72  4 6.3.1/LinuxIFC
dibenzoindigo        cryst R2SCAN-D3paw900 C48H28N4O4     P21/n     4 1  2 1  2  84  132  180  793  663   14   1  0.23  484  72 72  4 6.3.1/LinuxIFC
DNBDT                cryst R2SCAN-D3paw900 C52H28S4       P21/n     4 1  2 1  2  84  130  180  824  480   14   1  0.17  494  72 72  4 6.3.1/LinuxIFC
DNTT                 cryst R2SCAN-D3paw900 C44H24S4       P21       2 1  2 1  1  72  112  162  743  715   14   1  0.17  487  72 72  4 6.3.1/LinuxIFC
hexacene             cryst R2SCAN-D3paw900 C52H32         P-1       2 1  2 2  2  84  120  180  750  715   14   1  0.29  663  72 72  4 6.3.1/LinuxIFC
HMTTF                cryst R2SCAN-D3paw900 C48H48S16      P21/c     4 1  4 1  1 112  168  234 1120  588   14   1  0.39  471  72 72  4 6.3.1/LinuxIFC
ICZb                 cryst R2SCAN-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  573  480   14   1  0.08  508  72 72  4 6.3.1/LinuxIFC
ICZbCl2c             cryst R2SCAN-D3paw900 C36Cl4H20N4    P21/c     4 1  2 1  2  64  106  144  648  540   14   1  0.10  489  72 72  4 6.3.1/LinuxIFC
IF12b                cryst R2SCAN-D3paw900 C40H28         P21/n     4 1  2 1  2  68   94  144  612  320   16   1  0.07  537  72 72  4 6.3.1/LinuxIFC
IF21a                cryst R2SCAN-D3paw900 C80H56         P21/c     4 1  4 1  1 136  188  270 1285  192   15   1  0.19  445  72 72  4 6.3.1/LinuxIFC
indigo               cryst R2SCAN-D3paw900 C32H20N4O4     P21/n     4 1  2 1  2  60   96  144  568  576   14   1  0.10  567  72 72  4 6.3.1/LinuxIFC
indigoCl2            cryst R2SCAN-D3paw900 C32Cl4H16N4O4  P21/c     4 1  2 1  2  60  108  144  648  714   14   1  0.15  552  72 72  4 6.3.1/LinuxIFC
naphthalene          cryst R2SCAN-D3paw900 C20H16         P21/c     4 1  2 1  2  36   48   72  329 2160   14   1  0.08  551  72 72  4 6.3.1/LinuxIFC
