Runtime for cryst_R2SCAN-D3paw900_cg3, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
anthracene           cryst R2SCAN-D3paw900 C28H20         P21/c     4 1  2 1  2  48   66  108  445   96  100  32  0.05  512  72 72  4 6.3.1/LinuxIFC
anthraquinone        cryst R2SCAN-D3paw900 C28H16O4       P21/c     4 1  2 1  2  48   76  108  455   64  115  37  0.06  604  72 72  4 6.3.1/LinuxIFC
benzene              cryst R2SCAN-D3paw900 C24H24         Pbca      8 1  4 1  2  48   60   90  447  144  122  35  0.07  419  72 72  4 6.3.1/LinuxIFC
benzeneF6            cryst R2SCAN-D3paw900 C36F36         P21/n     4 1  6 2  1  72  198  252  862   48  236  56  0.56  737  72 72  4 6.3.1/LinuxIFC
benzeneO2            cryst R2SCAN-D3paw900 C12H8O4        P21/c     4 1  2 1  2  24   40   54  247  216  144  38  0.03  432  72 72  4 6.3.1/LinuxIFC
benzodithiopheneO2   cryst R2SCAN-D3paw900 C20H8O4S4      P21/n     4 1  2 1  2  36   68   90  416   50  128  35  0.03  498  72 72  4 6.3.1/LinuxIFC
benzotrithiophene    cryst R2SCAN-D3paw900 C48H24S12      P21/n     4 1  4 1  1  84  144  198 1031   36  131  44  0.19  658  72 72  4 6.3.1/LinuxIFC
benzotrithiopheneA   cryst R2SCAN-D3paw900 C48H24S12      P21       2 1  4 2  1  84  144  198 1010   36   73  19  0.10  586  72 72  4 6.3.1/LinuxIFC
bithiophene          cryst R2SCAN-D3paw900 C16H12S4       P21/c     4 1  2 1  2  32   50   72  373  120   52  15  0.02  513  72 72  4 6.3.1/LinuxIFC
BODIPY               cryst R2SCAN-D3paw900 B8C72F16H56N16 C2/c      4 2  4 1  1  84  140  198  802   50  165  46  0.20  451  72 72  4 6.3.1/LinuxIFC
BTBT                 cryst R2SCAN-D3paw900 C28H16S4       P21/c     4 1  2 1  2  48   76  108  521   90   62  18  0.04  516  72 72  4 6.3.1/LinuxIFC
C60                  cryst R2SCAN-D3paw900 C240           Pa-3     24 1  4 1  6 240  480  612 2773   27   51   9  0.16  118  72 72  4 6.3.1/LinuxIFC
carbazole            cryst R2SCAN-D3paw900 C48H36N4       Pnma      8 1  4 1  2  88  124  180  794   48  146  50  0.23  661  72 72  4 6.3.1/LinuxIFC
carbazoleNO2b        cryst R2SCAN-D3paw900 C48H32N8O8     P21/n     4 1  4 1  1  96  156  216  929   36  180  56  0.28  598  72 72  4 6.3.1/LinuxIFC
chrysene             cryst R2SCAN-D3paw900 C72H48         C12/n1*   8 1  4 1  2 120  168  234 1106   20  175  52  0.18  471  72 72  4 6.3.1/LinuxIFC
coronene             cryst R2SCAN-D3paw900 C48H24         P21/n     4 1  2 1  2  72  108  162  683   36   49  11  0.03  581  72 72  4 6.3.1/LinuxIFC
DATT                 cryst R2SCAN-D3paw900 C60H32S4       P21       2 1  2 1  1  96  148  198  951   40   87  26  0.13  527  72 72  4 6.3.1/LinuxIFC
DBTTF                cryst R2SCAN-D3paw900 C28H16S8       P21/c     4 1  2 1  2  52   88  126  605   72   63  17  0.05  566  72 72  4 6.3.1/LinuxIFC
dibenzoindigo        cryst R2SCAN-D3paw900 C48H28N4O4     P21/n     4 1  2 1  2  84  132  180  793   30  133  44  0.13  637  72 72  4 6.3.1/LinuxIFC
DNBDT                cryst R2SCAN-D3paw900 C52H28S4       P21/n     4 1  2 1  2  84  130  180  824   54  101  30  0.13  471  72 72  4 6.3.1/LinuxIFC
DNTT                 cryst R2SCAN-D3paw900 C44H24S4       P21       2 1  2 1  1  72  112  162  743   40   84  26  0.07  619  72 72  4 6.3.1/LinuxIFC
hexacene             cryst R2SCAN-D3paw900 C52H32         P-1       2 1  2 2  2  84  120  180  750   40  102  37  0.14  748  72 72  4 6.3.1/LinuxIFC
HMTTF                cryst R2SCAN-D3paw900 C48H48S16      P21/c     4 1  4 1  1 112  168  234 1120   54  168  52  0.41  444  72 72  4 6.3.1/LinuxIFC
ICZb                 cryst R2SCAN-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  573   48  157  53  0.10  582  72 72  4 6.3.1/LinuxIFC
ICZbCl2c             cryst R2SCAN-D3paw900 C36Cl4H20N4    P21/c     4 1  2 1  2  64  106  144  648   48  104  30  0.09  624  72 72  4 6.3.1/LinuxIFC
IF12b                cryst R2SCAN-D3paw900 C40H28         P21/n     4 1  2 1  2  68   94  144  612   48  144  50  0.11  637  72 72  4 6.3.1/LinuxIFC
IF21a                cryst R2SCAN-D3paw900 C80H56         P21/c     4 1  4 1  1 136  188  270 1285   24  195  76  0.41  600  72 72  4 6.3.1/LinuxIFC
indigo               cryst R2SCAN-D3paw900 C32H20N4O4     P21/n     4 1  2 1  2  60   96  144  568   45  108  34  0.05  458  72 72  4 6.3.1/LinuxIFC
indigoCl2            cryst R2SCAN-D3paw900 C32Cl4H16N4O4  P21/c     4 1  2 1  2  60  108  144  648   63  167  55  0.15  545  72 72  4 6.3.1/LinuxIFC
naphthalene          cryst R2SCAN-D3paw900 C20H16         P21/c     4 1  2 1  2  36   48   72  329   80  112  32  0.02  485  72 72  4 6.3.1/LinuxIFC
NDFPh                cryst R2SCAN-D3paw900 C52H32O4       P21/c     4 1  2 1  2  88  132  180  856   40  112  33  0.15  633  72 72  4 6.3.1/LinuxIFC
NDI                  cryst R2SCAN-D3paw900 C28H12N4O8     P-1       2 1  2 2  2  52   96  126  506   64  108  23  0.09  704  72 72  4 6.3.1/LinuxIFC
NDT                  cryst R2SCAN-D3paw900 C56H32S8       P21/c     4 1  4 2  2  96  152  216 1039   32  146  53  0.26  749  72 72  4 6.3.1/LinuxIFC
oligothiophene4      cryst R2SCAN-D3paw900 C32H20S8       P21/a     4 1  2 1  2  60   98  144  695  120  176  68  0.28  529  72 72  4 6.3.1/LinuxIFC
oligothiophene6      cryst R2SCAN-D3paw900 C48H28S12      P21/a     4 1  2 1  2  88  146  198 1018   48   70  16  0.14  653  72 72  4 6.3.1/LinuxIFC
