Runtime for cryst_R2SCAN-D3paw900_MA_freq, 2023-04-14
 sys               conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
TTF                cryst R2SCAN-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380   56  417  55  0.11 1057  72 72  1 6.3.1/LinuxIFC
triazine           cryst R2SCAN-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   72  178  216  327  49  0.14 1753  72 72  1 6.3.1/LinuxIFC
naphthalene        cryst R2SCAN-D3paw900 C20H16         P21/c     4 1  2 1  2  36   48   72  329   80  469  67  0.17  874  72 72  1 6.3.1/LinuxIFC
benzeneO2          cryst R2SCAN-D3paw900 C12H8O4        P21/c     4 1  2 1  2  24   40   72  247  216  353  49  0.19 1044  72 72  1 6.3.1/LinuxIFC
benzodithiopheneO2 cryst R2SCAN-D3paw900 C20H8O4S4      P21/n     4 1  2 1  2  36   68  144  416   50  459  67  0.22 1205  72 72  1 6.3.1/LinuxIFC
bithiophene        cryst R2SCAN-D3paw900 C16H12S4       P21/c     4 1  2 1  2  32   50   72  373  120  447  61  0.24  903  72 72  1 6.3.1/LinuxIFC
TCNQ-F2            cryst R2SCAN-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   72  248  196  520  73  0.26 1210  72 72  1 6.3.1/LinuxIFC
TTTT               cryst R2SCAN-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68  144  454   72  460  67  0.36 1283  72 72  1 6.3.1/LinuxIFC
thiazolothiazolePh cryst R2SCAN-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  638   36  725 103  0.42  685  72 72  1 6.3.1/LinuxIFC
TCNQ               cryst R2SCAN-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  144  490   72  510  73  0.44 1163  72 72  1 6.3.1/LinuxIFC
indigo             cryst R2SCAN-D3paw900 C32H20N4O4     P21/n     4 1  2 1  2  60   96  144  568   45  719 103  0.45  632  72 72  1 6.3.1/LinuxIFC
anthraquinone      cryst R2SCAN-D3paw900 C28H16O4       P21/c     4 1  2 1  2  48   76  144  455   64  559  85  0.46 1034  72 72  1 6.3.1/LinuxIFC
perylene           cryst R2SCAN-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  144  580   45  735 109  0.47  625  72 72  1 6.3.1/LinuxIFC
benzene            cryst R2SCAN-D3paw900 C24H24         Pbca      8 1  4 1  2  48   60  144  447  144  328  49  0.47 1020  72 72  1 6.3.1/LinuxIFC
phenazine          cryst R2SCAN-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66  144  425  105  510  79  0.51  988  72 72  1 6.3.1/LinuxIFC
ICZb               cryst R2SCAN-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  573   48  740 109  0.54  657  72 72  1 6.3.1/LinuxIFC
